# peelcost: trials=8 solver=ks_bmax_top16 heavy=6 seed=0xc057c0de
# cost model is a block-XOR proxy: matrix_xors + precode_gen + N*solve_width + solve_width^2/2 + H*solve_width
# precode schemes change width/generation estimates only; rank and constraint-row effects require precode_sim
N,bb,overhead,solver,structure,precode,D,ldpc_cols,dense_rows,H,trials,resid_cols_mu,resid_cols_max,resid_rows_mu,matrix_refs_mu,matrix_xors_mu,legacy_total_xors_mu,solve_width_mu,precode_gen_xors_mu,backsub_xors_mu,ge_block_xors_mu,heavy_muladds_mu,total_block_xors_mu
32000,1280,1,ks_bmax_top16,lt_m2_c96,dense,190,0,190,6,8,298.3750,353,299.3750,166831.3750,134830.3750,9773232.8750,494.3750,80475.0000,15820000.0000,122741.5625,2966.2500,16161013.1875
32000,1280,1,ks_bmax_top16,lt_m2_c96,ldpcdense,190,190,0,6,8,298.3750,353,299.3750,166831.3750,134830.3750,9773232.8750,494.3750,96190.0000,15820000.0000,122741.5625,2966.2500,16176728.1875
32000,1280,1,ks_bmax_top16,lt_m2_c128,dense,190,0,190,6,8,224.3750,258,225.3750,174890.0000,142889.0000,7373689.2500,420.3750,80475.0000,13452000.0000,88473.4375,2522.2500,13766359.6875
32000,1280,1,ks_bmax_top16,lt_m2_c128,ldpcdense,190,190,0,6,8,224.3750,258,225.3750,174890.0000,142889.0000,7373689.2500,420.3750,96190.0000,13452000.0000,88473.4375,2522.2500,13782074.6875
32000,1280,1,ks_bmax_top16,lt_m2_c256,dense,190,0,190,6,8,158.5000,203,159.5000,197166.2500,165165.2500,5262983.5000,354.5000,80475.0000,11344000.0000,63103.8750,2127.0000,11654871.1250
32000,1280,1,ks_bmax_top16,lt_m2_c256,ldpcdense,190,190,0,6,8,158.5000,203,159.5000,197166.2500,165165.2500,5262983.5000,354.5000,96190.0000,11344000.0000,63103.8750,2127.0000,11670586.1250
32000,1280,1,ks_bmax_top16,lt_m2_c512,dense,190,0,190,6,8,127.1250,188,128.1250,218410.0000,186409.0000,4271419.7500,323.1250,80475.0000,10340000.0000,52566.3125,1938.7500,10661389.0625
32000,1280,1,ks_bmax_top16,lt_m2_c512,ldpcdense,190,190,0,6,8,127.1250,188,128.1250,218410.0000,186409.0000,4271419.7500,323.1250,96190.0000,10340000.0000,52566.3125,1938.7500,10677104.0625
32000,1280,1,ks_bmax_top16,lt_m2_c1024,dense,190,0,190,6,8,98.7500,107,99.7500,241077.0000,209076.0000,3378982.5000,294.7500,80475.0000,9432000.0000,43466.8750,1768.5000,9766786.3750
32000,1280,1,ks_bmax_top16,lt_m2_c1024,ldpcdense,190,190,0,6,8,98.7500,107,99.7500,241077.0000,209076.0000,3378982.5000,294.7500,96190.0000,9432000.0000,43466.8750,1768.5000,9782501.3750
32000,1280,1,ks_bmax_top16,robust_d1_001_d2_003,dense,190,0,190,6,8,546.7500,602,547.7500,150566.6250,118565.6250,17914966.3750,742.7500,80475.0000,23768000.0000,276298.0000,4456.5000,24247795.1250
32000,1280,1,ks_bmax_top16,robust_d1_001_d2_003,ldpcdense,190,190,0,6,8,546.7500,602,547.7500,150566.6250,118565.6250,17914966.3750,742.7500,96190.0000,23768000.0000,276298.0000,4456.5000,24263510.1250
32000,1280,1,ks_bmax_top16,robust_d1_001_d2_012,dense,190,0,190,6,8,834.7500,875,835.7500,143052.7500,111051.7500,27521218.5000,1030.7500,80475.0000,32984000.0000,531485.0000,6184.5000,33713196.2500
32000,1280,1,ks_bmax_top16,robust_d1_001_d2_012,ldpcdense,190,190,0,6,8,834.7500,875,835.7500,143052.7500,111051.7500,27521218.5000,1030.7500,96190.0000,32984000.0000,531485.0000,6184.5000,33728911.2500
